date,region,indicator,frequency,value
2017,Latin America,Demand,Annual,
2021,Latin America,Demand,Quarterly,6.16021897928881
2021,Latin America,Demand,Quarterly,6.45766978842383
2019,Latin America,Liquids Production,Quarterly,6.296801
2020,Argentina,Liquids Production,Quarterly,0.642311
2018,Colombia,Liquids Production,Quarterly,0.907783
2021,Colombia,Liquids Production,Quarterly,0.768239
2021,Ecuador,Liquids Production,Annual,
2021,Guyana,Liquids Production,Annual,0.114395753424658
2018,Trinidad & Tobago,Liquids Production,Annual,
2019,Latin America others,Liquids Production,Quarterly,0.35699
2018,Middle East,Demand,Annual,
2018,Middle East,Liquids Production,Quarterly,
2018,Middle East,Liquids Production,Quarterly,3.219592
2021,Bahrain,Liquids Production,Quarterly,0.206518
2018,Qatar,Liquids Production,Annual,1.94663770958904
2018,Qatar,Liquids Production,Annual,
2020,Yemen,Liquids Production,Quarterly,0.050165
2017,Africa,Demand,Annual,
2015,Africa,Demand,Quarterly,
2018,Africa,Liquids Production,Quarterly,1.546578
2020,Africa,Liquids Production,Quarterly,1.40216
2021,Africa,Liquids Production,Quarterly,1.335928
2021,Cameroon,Liquids Production,Annual,
2019,Cameroon,Liquids Production,Quarterly,0.072663
2018,Chad,Liquids Production,Quarterly,0.119937
2020,Chad,Liquids Production,Quarterly,0.117765
2020,Chad,Liquids Production,Quarterly,0.104896
2021,Egypt,Liquids Production,Annual,
2017,Egypt,Liquids Production,Quarterly,
2018,Egypt,Liquids Production,Quarterly,
2020,Egypt,Liquids Production,Quarterly,0.614322
2015,Ghana,Liquids Production,Annual,0.105531473972603
2020,Ghana,Liquids Production,Quarterly,0.185138
2017,South Africa,Liquids Production,Quarterly,
2015,Sudans,Liquids Production,Quarterly,
2018,Sudans,Liquids Production,Quarterly,
2021,Sudans,Liquids Production,Quarterly,0.193931
2020,Africa other,Liquids Production,Quarterly,0.105257
2017,Russia,Demand,Quarterly,
2017,Kazakhstan,Liquids Production,Quarterly,
2020,Kazakhstan,Liquids Production,Quarterly,1.898578
2021,Kazakhstan,Liquids Production,Quarterly,1.84525
2018,Azerbaijan,Liquids Production,Annual,
2018,Azerbaijan,Liquids Production,Quarterly,0.811017
2018,other Eurasia,Demand,Quarterly,
2018,other Eurasia,Liquids Production,Annual,
2017,other Eurasia,Liquids Production,Quarterly,
2017,Other Europe,Demand,Annual,0.717675347629996
2017,Other Europe,Demand,Annual,
2020,Other Europe,Demand,Annual,
2021,Other Europe,Demand,Quarterly,0.681
2017,Other Europe,Liquids Production,Annual,0.126153728767123
2018,China,Demand,Annual,
2021,China,Demand,Annual,14.302403671004
2017,China,Demand,Quarterly,
2020,China,Demand,Quarterly,13.8735574723292
2020,China,Demand,Quarterly,14.2797012563269
2021,China,Demand,Quarterly,12.9538526549316
2019,China,Liquids Production,Annual,
2020,China,Liquids Production,Annual,
2015,China,Liquids Production,Quarterly,
2017,China,Liquids Production,Quarterly,
2021,China,Liquids Production,Quarterly,4.24775
